source_file,print_speed_mms,layer,temp_now_C,temp_next_C,delta_T_C,state_now,state_next_if_hold,temp_bin_now,temp_bin_next
print_001_40mms_20260611_110707.csv,40.0,43,43.25,42.94,-0.3100000000000023,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,44,42.94,42.66,-0.28000000000000114,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,45,42.66,42.94,0.28000000000000114,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,46,42.94,42.84,-0.09999999999999432,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,47,42.84,41.94,-0.9000000000000057,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,48,41.94,42.34,0.4000000000000057,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,49,42.34,42.66,0.3199999999999932,13,13,2,2
print_001_70mms_20260611_105636.csv,70.0,1,42.56,42.56,0.0,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,2,42.56,41.66,-0.9000000000000057,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,3,41.66,41.66,0.0,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,4,41.66,41.16,-0.5,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,5,41.16,42.34,1.1800000000000068,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,6,42.34,43.06,0.7199999999999989,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,7,43.06,41.66,-1.4000000000000057,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,8,41.66,42.06,0.4000000000000057,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,9,42.06,42.56,0.5,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,10,42.56,42.16,-0.4000000000000057,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,11,42.16,42.06,-0.09999999999999432,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,12,42.06,41.66,-0.4000000000000057,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,13,41.66,42.56,0.9000000000000057,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,14,42.56,42.34,-0.21999999999999886,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,15,42.34,40.94,-1.4000000000000057,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,16,40.94,42.16,1.2199999999999989,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,17,42.16,42.44,0.28000000000000114,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,18,42.44,42.16,-0.28000000000000114,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,19,42.16,42.56,0.4000000000000057,14,14,2,2
print_001_70mms_20260611_105636.csv,70.0,20,42.56,41.84,-0.7199999999999989,14,14,2,2
