C (GPa),dP/dh (N/m),Wp/Wt,hm (um)
152.7345239,200012.7142,0.712726438,0.242746673
139.3139319,206105.561,0.72159447,0.254170294
140.4828854,198492.4386,0.717947335,0.253110053
130.5326186,200534.9853,0.734833114,0.262580383
129.0398993,196155.2009,0.720440844,0.264094378
128.7443872,208138.9834,0.726274394,0.26439756
130.2972171,201848.3401,0.718774222,0.262816841
126.2575918,201938.6802,0.738586796,0.266988672
126.0045167,205027.3261,0.734347543,0.267256798
143.3306096,196850.9479,0.715280674,0.250583004
143.9609228,196623.3891,0.700646727,0.250033918
127.6570081,205483.2564,0.729433471,0.265521161
130.1223308,197404.1552,0.729318318,0.262994361
121.3196206,206485.6555,0.746703453,0.272367923
131.3836424,202139.7011,0.730824418,0.261728445
131.1410739,203323.52,0.717414785,0.26197065
151.2424192,194114.7691,0.693135886,0.243940834
148.4010862,199160.6762,0.705999891,0.246264858
136.9135231,199795.9936,0.719468192,0.256388638
129.9990956,204324.1403,0.71697335,0.263118445
142.3081344,201653.7469,0.729099559,0.251482126
132.3850858,205431.0029,0.726015894,0.260737109
130.0410594,206324.2835,0.733457814,0.263076098
